Dialogue_Id,Speaker,Emotion,Emotion_name,Utterance,Annotate(0/1)
0,Chandler,0,neutral,also I was the point person on my company's transition from the KL-5 to GR-6 system.,0
0,The Interviewer,0,neutral,You must've had your hands full.,0
0,Chandler,0,neutral,That I did. That I did.,0
0,The Interviewer,0,neutral,So let's talk a little bit about your duties.,1
0,Chandler,6,surprise,My duties?  All right.,0
,,,,,
0,Chandler,0,neutral,also I was the point person on my company's transition from the KL-5 to GR-6 system.,0
0,The Interviewer,0,neutral,You must've had your hands full.,0
0,Chandler,0,neutral,That I did. That I did.,0
0,The Interviewer,0,neutral,So let's talk a little bit about your duties.,0
0,Chandler,6,surprise,My duties?  All right.,0
0,The Interviewer,0,neutral,"Now you'll be heading a whole division, so you'll have a lot of duties.",1
0,Chandler,0,neutral,I see.,0
,,,,,
0,Chandler,0,neutral,also I was the point person on my company's transition from the KL-5 to GR-6 system.,0
0,The Interviewer,0,neutral,You must've had your hands full.,0
0,Chandler,0,neutral,That I did. That I did.,0
0,The Interviewer,0,neutral,So let's talk a little bit about your duties.,0
0,Chandler,6,surprise,My duties?  All right.,0
0,The Interviewer,0,neutral,"Now you'll be heading a whole division, so you'll have a lot of duties.",0
0,Chandler,0,neutral,I see.,0
0,The Interviewer,0,neutral,But there'll be perhaps 30 people under you so you can dump a certain amount on them.,1
0,Chandler,0,neutral,Good to know.,0
0,The Interviewer,0,neutral,We can go into detail,1
0,Chandler,3,fear,No don't I beg of you!,0
,,,,,
0,Chandler,0,neutral,also I was the point person on my company's transition from the KL-5 to GR-6 system.,0
0,The Interviewer,0,neutral,You must've had your hands full.,0
0,Chandler,0,neutral,That I did. That I did.,0
0,The Interviewer,0,neutral,So let's talk a little bit about your duties.,0
0,Chandler,6,surprise,My duties?  All right.,0
0,The Interviewer,0,neutral,"Now you'll be heading a whole division, so you'll have a lot of duties.",0
0,Chandler,0,neutral,I see.,0
0,The Interviewer,0,neutral,But there'll be perhaps 30 people under you so you can dump a certain amount on them.,0
0,Chandler,0,neutral,Good to know.,0
0,The Interviewer,0,neutral,We can go into detail,0
0,Chandler,3,fear,No don't I beg of you!,0
0,The Interviewer,0,neutral,"All right then, we'll have a definite answer for you on Monday, but I think I can say with some confidence, you'll fit in well here.",1
0,Chandler,6,surprise,Really?!,0
,,,,,
1,Joey,6,surprise,But then who? The waitress I went out with last month?,0
1,Rachel,5,sadness,You know? Forget it!,0
1,Joey,6,surprise,"No-no-no-no, no! Who, who were you talking about?",1
1,Rachel,3,fear,"No, I-I-I-I don't, I actually don't know",0
,,,,,
1,Joey,6,surprise,But then who? The waitress I went out with last month?,0
1,Rachel,5,sadness,You know? Forget it!,0
1,Joey,6,surprise,"No-no-no-no, no! Who, who were you talking about?",0
1,Rachel,3,fear,"No, I-I-I-I don't, I actually don't know",1
1,Joey,0,neutral,Ok!,0
,,,,,
1,Joey,6,surprise,But then who? The waitress I went out with last month?,0
1,Rachel,5,sadness,You know? Forget it!,0
1,Joey,6,surprise,"No-no-no-no, no! Who, who were you talking about?",0
1,Rachel,3,fear,"No, I-I-I-I don't, I actually don't know",0
